,name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,room_Entire home/apt,room_Hotel room,room_Private room,room_Shared room,price_category,review_day,review_month,review_year
5148,"Great price, 100m Short walk to BTS, Why stay far?",Mod Apiluk,Parthum Wan,13.7438,100.54967,Entire home/apt,3743,1,118,25,176,True,False,False,False,High,12,2,2022
5149,Subnaidin Coconut Farm - Coconut House,Supansa,Phasi Charoen,13.72161,100.4583,Entire home/apt,2190,1,1,2,173,True,False,False,False,High,14,12,2019
5150,"""Mi-Wood"" Cosy home@ASOK & 8min Walk to MRT QSNCC",Xin,Khlong Toei,13.724496,100.563232,Entire home/apt,1430,4,73,1,13,True,False,False,False,Medium,25,11,2022
5151,ฺBangkok Sanookdee (room for 2),Noparat,Khlong San,13.72314,100.50341,Hotel room,683,1,6,5,252,False,True,False,False,Low,22,5,2022
5152,Riverfront Residence Bangkok River view (2BR),Riverfront,Yan na wa,13.67304,100.54466,Private room,4726,1,0,2,363,False,False,True,False,High,11,12,2022
5153,Near MRT Wongsawang,Chin,Bang Sue,13.82742,100.52856,Private room,950,2,0,2,78,False,False,True,False,Low,11,12,2022
5154,曼谷市中心汇狂地铁出口5分钟 华人高评价必住民宿 建兴酒家 曼谷最大火车夜市 代购按摩街自由行首选4,Taosiam,Huai Khwang,13.78081,100.57589,Private room,600,1,49,34,102,False,False,True,False,Low,15,2,2020
5155,Great location/MRT/Airport Link/RCA/Train Market,Jidapa,Huai Khwang,13.75321,100.5924,Entire home/apt,1732,1,0,1,89,True,False,False,False,Medium,11,12,2022
5156,Bambino House  Cafe No1,Wipa,Bangkok Noi,13.746086155864893,100.4695251578162,Private room,590,2,0,3,365,False,False,True,False,Low,11,12,2022
5158,"H2 ★Designer Room★ 1m to BTS, 5m to Siam, MBK",Siam Nitra,Ratchathewi,13.74969,100.53102,Entire home/apt,2290,1,27,8,344,True,False,False,False,High,7,11,2022
5159,"★ SPECIAL DISCOUNT ★ 1m to BTS, 5m to Siam, MBK",Siam Nitra,Ratchathewi,13.74969,100.53102,Entire home/apt,2490,1,17,8,331,True,False,False,False,High,12,12,2022
5160,"H4 ★ Designer Room★ 1m to BTS, 5m to Siam, MBK",Siam Nitra,Ratchathewi,13.74969,100.53102,Entire home/apt,2690,1,46,8,320,True,False,False,False,High,28,11,2022
5161,1 BR Service Apt.  (5 mins to Emquartier/BTS),Mo,Khlong Toei,13.72704,100.57166,Entire home/apt,1600,2,42,10,247,True,False,False,False,Medium,25,12,2022
5162,Cozy and Convenient Downtown Apartment,Phongsiri,Khlong Toei,13.72224,100.55982,Entire home/apt,1800,15,0,2,181,True,False,False,False,Medium,11,12,2022
5163,Private Home - with local family of 3!,Alisa,Chatu Chak,13.83266,100.5721,Private room,4071,1,8,1,178,False,False,True,False,High,27,5,2019
5164,H condo Sukumvit,Pimonchanok,Vadhana,13.73337,100.57309,Entire home/apt,4000,1,0,1,365,True,False,False,False,High,11,12,2022
5165,Service apartment 1.5 km Subway Huai Khwang,Mok,Huai Khwang,13.77074,100.58324,Private room,798,1,1,13,118,False,False,True,False,Low,1,1,2019
5166,"Great location 2 Bed 2 Bath, 5 mins walk to MRT",Ataya,Din Daeng,13.79727,100.57235,Entire home/apt,2770,1,0,1,180,True,False,False,False,High,11,12,2022
5168,Modern 2-BR duplex in the heart of Bangkok,Venussa,Sathon,13.71975,100.532,Entire home/apt,15000,1,0,2,365,True,False,False,False,High,11,12,2022
5169,Bangkok Local and cosy for budget traveller,Ranida,Suanluang,13.73423,100.63027,Private room,550,1,2,1,179,False,False,True,False,Low,15,12,2019
5171,"2Houses+10Bed+10Bath, Daily Cleaning, Free Pick Up",Anne Araya,Phra Khanong,13.6988,100.60699,Entire home/apt,18000,1,3,25,302,True,False,False,False,High,28,1,2020
5172,Double Room Best Location in Old town+Breakfast,Sasi,Phra Nakhon,13.74779,100.49878,Hotel room,980,1,83,24,306,False,True,False,False,Low,11,12,2022
5173,Bangkae 30sqm Near the Shopping Malll,Thanapoj,Bang Khae,13.70959,100.40833,Entire home/apt,571,2,12,4,130,True,False,False,False,Low,16,11,2022
5174,Compact and functional room service,Pornpen,Bang Khen,13.86561,100.61749,Private room,850,1,1,1,361,False,False,True,False,Low,16,9,2018
5175,Private 4 Bed Dorm in Silom with shared bathroom,Vice,Bang Rak,13.72389,100.52235,Private room,1400,1,1,5,365,False,False,True,False,Medium,1,1,2020
5176,Service Apartment 1.5 km. MRT Huai Khwang,Mok,Huai Khwang,13.7696,100.58279,Private room,690,1,4,13,118,False,False,True,False,Low,14,1,2019
5177,chill window room 1.5 km. From tourist main center,Slalee,Phra Nakhon,13.76404,100.50232,Private room,506,2,80,1,308,False,False,True,False,Low,12,12,2022
5178,Yuo3Condo,Veekrit Anan,Chatu Chak,13.8366,100.58767,Private room,2000,2,0,2,180,False,False,True,False,Medium,11,12,2022
5179,Service Apartment 1.5 km. From Huai Khwang MRT,Mok,Huai Khwang,13.76873,100.58396,Private room,650,1,1,13,118,False,False,True,False,Low,10,2,2019
5180,Deluxe Double/ Twin,Petcharee,Khlong Toei,13.73883,100.55791,Private room,2000,1,0,2,351,False,False,True,False,Medium,11,12,2022
5181,"Budget Room for 2-4 persons, 2min to MRT",Nui,Bang Sue,13.81975,100.5297,Entire home/apt,741,5,84,22,139,True,False,False,False,Low,25,11,2022
5183,400 m. from MRT Huaykwang to Chateau intowncollage,Natthavat,Din Daeng,13.78336,100.57158,Private room,899,1,0,1,169,False,False,True,False,Low,11,12,2022
5184,"Happy Condo Ratchada18,Studio Room",Miki,Huai Khwang,13.76812,100.57554,Private room,8000,1,0,1,180,False,False,True,False,High,11,12,2022
5185,สบาย68 หอพักหญิง ลาดพร้าว 64 ติดถนนใหญ่ลาดพร้าว,Naraksak,Wang Thong Lang,13.78341,100.61394,Private room,2500,1,0,1,364,False,False,True,False,High,11,12,2022
5186,You3Condo,Veekrit Anan,Chatu Chak,13.8329,100.56707,Private room,1490,2,0,2,179,False,False,True,False,Medium,11,12,2022
5187,Holiday home Monthly stay,Tenny,Suanluang,13.74493,100.62957,Entire home/apt,2800,7,9,1,0,True,False,False,False,High,9,1,2020
5188,AN ABSOLUTELY LUXURIOUS STAY,Roberto,Khlong Toei,13.73804,100.55404,Entire home/apt,1990,1,0,1,180,True,False,False,False,Medium,11,12,2022
5190,An oasis in Sukhummvit. Easy access to sky train,Jo,Phra Khanong,13.68632,100.60494,Entire home/apt,990,4,4,2,55,True,False,False,False,Low,25,11,2022
5191,Executive King Room 7 mins from MRT 欢迎入住,The Mini R Ratchada,Din Daeng,13.77323,100.573,Private room,1500,1,0,3,121,False,False,True,False,Medium,11,12,2022
5192,Skyline Room Only,Grand Mercure Bangkok Atrium,Vadhana,13.74637,100.56932,Hotel room,4305,1,0,11,0,False,True,False,False,High,11,12,2022
5193,Zee Thai Hostel Khaosan:Private Room Double bed 18,Zee Thai,Phra Nakhon,13.76289,100.50448,Private room,543,1,3,18,0,False,False,True,False,Low,23,9,2019
5194,Zee Thai Hostel Khaosan:Private Room Double bed 19,Zee Thai,Phra Nakhon,13.76478,100.50247,Hotel room,557,1,42,18,0,False,True,False,False,Low,29,8,2022
5195,Zee Thai Hostel Khaosan:Private Room Double bed 20,Zee Thai,Phra Nakhon,13.76298,100.50433,Hotel room,543,1,32,18,0,False,True,False,False,Low,7,10,2022
5196,Zee Thai Hostel Khaosan:Private Room Double bed 21,Zee Thai,Phra Nakhon,13.76308,100.50362,Private room,557,1,4,18,0,False,False,True,False,Low,2,11,2019
5197,Zee Thai Hostel Khaosan:Private Room Double bed 22,Zee Thai,Phra Nakhon,13.76416,100.50225,Private room,557,1,3,18,0,False,False,True,False,Low,18,2,2020
5198,Zee Thai Hostel Khaosan:Private Room Double bed 23,Zee Thai,Phra Nakhon,13.76493,100.50254,Private room,557,1,5,18,0,False,False,True,False,Low,29,12,2019
5199,Zee Thai Hostel Khaosan:Private Room Double bed 24,Zee Thai,Phra Nakhon,13.7635,100.50248,Private room,557,1,33,18,0,False,False,True,False,Low,5,9,2022
5200,120sqm. cozy family 2Bedroom near Central Bangna,Athipat,Bang Na,13.672964096069336,100.63434600830078,Entire home/apt,2400,7,4,1,159,True,False,False,False,High,12,8,2022
5201,"A2.5 Family room in Pratunam mkt, Nr Platinum mall",Anny,Ratchathewi,13.755,100.53919,Private room,1550,2,76,1,325,False,False,True,False,Medium,28,12,2022
5202,Whole House/3BR/BRT/Free WiFi&Housekeeping,Pichai,Bang Kho laen,13.68981,100.49931,Entire home/apt,6500,1,1,1,365,True,False,False,False,High,1,1,2019
5203,The Orientale | Double Deluxe | Foody | 500m MRT,The Orientale,Samphanthawong,13.73817,100.51302,Hotel room,1593,1,35,4,346,False,True,False,False,Medium,7,4,2021
5204,The Orientale | Double bed | Foody | 500m MRT,The Orientale,Pom Prap Sattru Phai,13.73955,100.51432,Hotel room,1467,1,76,4,352,False,True,False,False,Medium,4,9,2021
5205,The Orientale | Studio room | Foody | 500m MRT,The Orientale,Samphanthawong,13.73815,100.51386,Hotel room,2052,1,24,4,340,False,True,False,False,High,10,1,2020
